1,"NW/CPN    ",2026,January,13,13,13,13
2,"NW/CPS    ",2026,January,11,5,11,5
3,"NW/EP     ",2026,January,8,8,8,8
4,"NW/NCP    ",2026,January,12,11,12,11
5,"NW/NP-1   ",2026,January,4,4,4,4
6,"NW/NP-2   ",2026,January,7,8,7,8
7,"NW/NWPE   ",2026,January,9,0,9,0
8,"NW/NWPW   ",2026,January,4,6,4,6
9,"NW/SAB    ",2026,January,12,12,12,12
10,"NW/SPE    ",2026,January,17,17,17,17
11,"NW/SPW    ",2026,January,7,5,7,5
12,"NW/UVA    ",2026,January,8,7,8,7
13,"NW/WPC-1  ",2026,January,9,3,9,3
14,"NW/WPC-2  ",2026,January,38,0,38,0
15,"NW/WPE    ",2026,January,14,17,14,17
16,"NW/WPN    ",2026,January,15,4,15,4
17,"NW/WPNE   ",2026,January,13,2,13,2
18,"NW/WPS    ",2026,January,9,12,9,12
19,"NW/WPSE   ",2026,January,7,0,7,0
20,"NW/WPSW   ",2026,January,12,16,12,16
21,"NW/CPN    ",2026,February,13,14,26,27
22,"NW/CPS    ",2026,February,12,16,23,21
23,"NW/EP     ",2026,February,8,8,16,16
24,"NW/NCP    ",2026,February,12,11,24,22
25,"NW/NP-1   ",2026,February,3,3,7,7
26,"NW/NP-2   ",2026,February,7,3,14,11
27,"NW/NWPE   ",2026,February,10,19,19,19
28,"NW/NWPW   ",2026,February,5,5,9,11
29,"NW/SAB    ",2026,February,12,12,24,24
30,"NW/SPE    ",2026,February,17,18,34,35
31,"NW/SPW    ",2026,February,7,10,14,15
32,"NW/UVA    ",2026,February,8,10,16,17
33,"NW/WPC-1  ",2026,February,9,25,18,28
34,"NW/WPC-2  ",2026,February,39,4,77,4
35,"NW/WPE    ",2026,February,14,12,28,29
36,"NW/WPN    ",2026,February,15,26,30,30
37,"NW/WPNE   ",2026,February,14,25,27,27
38,"NW/WPS    ",2026,February,9,6,18,18
39,"NW/WPSE   ",2026,February,7,2,14,2
40,"NW/WPSW   ",2026,February,13,9,25,25
41,"NW/CPN    ",2026,March,13,14,13,14
42,"NW/CPS    ",2026,March,11,8,11,8
43,"NW/EP     ",2026,March,8,8,8,8
44,"NW/NCP    ",2026,March,12,11,12,11
45,"NW/NP-1   ",2026,March,4,4,4,4
46,"NW/NP-2   ",2026,March,7,13,7,13
47,"NW/NWPE   ",2026,March,9,0,9,0
48,"NW/NWPW   ",2026,March,4,4,4,4
49,"NW/SAB    ",2026,March,12,12,12,12
50,"NW/SPE    ",2026,March,17,20,17,20
51,"NW/SPW    ",2026,March,7,5,7,5
52,"NW/UVA    ",2026,March,8,13,8,13
53,"NW/WPC-1  ",2026,March,9,2,9,2
54,"NW/WPC-2  ",2026,March,38,0,38,0
55,"NW/WPE    ",2026,March,14,5,14,5
56,"NW/WPN    ",2026,March,15,13,15,13
57,"NW/WPNE   ",2026,March,13,8,13,8
58,"NW/WPS    ",2026,March,9,9,9,9
59,"NW/WPSE   ",2026,March,7,0,7,0
60,"NW/WPSW   ",2026,March,12,12,12,12
61,"NW/CPN    ",2026,April,13,13,26,27
62,"NW/CPS    ",2026,April,12,17,23,25
63,"NW/EP     ",2026,April,8,7,16,15
64,"NW/NCP    ",2026,April,12,11,24,22
65,"NW/NP-1   ",2026,April,3,3,7,7
66,"NW/NP-2   ",2026,April,7,3,14,16
67,"NW/NWPE   ",2026,April,10,1,19,1
68,"NW/NWPW   ",2026,April,5,3,9,7
69,"NW/SAB    ",2026,April,12,12,24,24
70,"NW/SPE    ",2026,April,17,15,34,35
71,"NW/SPW    ",2026,April,7,8,14,13
72,"NW/UVA    ",2026,April,8,4,16,17
73,"NW/WPC-1  ",2026,April,9,16,18,18
74,"NW/WPC-2  ",2026,April,39,0,77,0
75,"NW/WPE    ",2026,April,14,20,28,25
76,"NW/WPN    ",2026,April,15,17,30,30
77,"NW/WPNE   ",2026,April,14,19,27,27
78,"NW/WPS    ",2026,April,9,9,18,18
79,"NW/WPSE   ",2026,April,7,2,14,2
80,"NW/WPSW   ",2026,April,13,13,25,25
81,"NW/CPN    ",2026,May,13,0,13,0
82,"NW/CPS    ",2026,May,11,0,11,0
83,"NW/EP     ",2026,May,8,1,8,1
84,"NW/NCP    ",2026,May,12,2,12,2
85,"NW/NP-1   ",2026,May,4,0,4,0
86,"NW/NP-2   ",2026,May,7,1,7,1
87,"NW/NWPE   ",2026,May,9,0,9,0
88,"NW/NWPW   ",2026,May,4,0,4,0
89,"NW/SAB    ",2026,May,12,0,12,0
90,"NW/SPE    ",2026,May,17,0,17,0
91,"NW/SPW    ",2026,May,7,0,7,0
92,"NW/UVA    ",2026,May,8,0,8,0
93,"NW/WPC-1  ",2026,May,9,4,9,4
94,"NW/WPC-2  ",2026,May,38,1,38,1
95,"NW/WPE    ",2026,May,14,11,14,11
96,"NW/WPN    ",2026,May,15,4,15,4
97,"NW/WPNE   ",2026,May,13,27,13,27
98,"NW/WPS    ",2026,May,9,0,9,0
99,"NW/WPSE   ",2026,May,7,4,7,4
100,"NW/WPSW   ",2026,May,12,7,12,7
101,"NW/CPN    ",2026,June,13,0,26,0
102,"NW/CPS    ",2026,June,12,0,23,0
103,"NW/EP     ",2026,June,8,0,16,1
104,"NW/NCP    ",2026,June,12,0,24,2
105,"NW/NP-1   ",2026,June,3,0,7,0
106,"NW/NP-2   ",2026,June,7,0,14,1
107,"NW/NWPE   ",2026,June,10,0,19,0
108,"NW/NWPW   ",2026,June,5,0,9,0
109,"NW/SAB    ",2026,June,12,0,24,0
110,"NW/SPE    ",2026,June,17,0,34,0
111,"NW/SPW    ",2026,June,7,0,14,0
112,"NW/UVA    ",2026,June,8,0,16,0
113,"NW/WPC-1  ",2026,June,9,0,18,4
114,"NW/WPC-2  ",2026,June,39,0,77,1
115,"NW/WPE    ",2026,June,14,0,28,11
116,"NW/WPN    ",2026,June,15,0,30,4
117,"NW/WPNE   ",2026,June,14,0,27,27
118,"NW/WPS    ",2026,June,9,0,18,0
119,"NW/WPSE   ",2026,June,7,0,14,4
120,"NW/WPSW   ",2026,June,13,0,25,7
121,"NW/CPN    ",2026,July,13,0,13,0
122,"NW/CPS    ",2026,July,11,0,11,0
