1,"NW/CPN    ",2026,January,98,98,98,98
2,"NW/CPS    ",2026,January,57,9,57,9
3,"NW/EP     ",2026,January,46,46,46,46
4,"NW/NCP    ",2026,January,40,41,40,41
5,"NW/NP-1   ",2026,January,36,36,36,36
6,"NW/NP-2   ",2026,January,44,29,44,29
7,"NW/NWPE   ",2026,January,45,53,45,53
8,"NW/NWPW   ",2026,January,30,31,30,31
9,"NW/SAB    ",2026,January,66,42,66,42
10,"NW/SPE    ",2026,January,56,78,56,78
11,"NW/SPW    ",2026,January,30,30,30,30
12,"NW/UVA    ",2026,January,37,17,37,17
13,"NW/WPC-1  ",2026,January,24,33,24,33
14,"NW/WPC-2  ",2026,January,37,0,37,0
15,"NW/WPE    ",2026,January,71,16,71,16
16,"NW/WPN    ",2026,January,73,26,73,26
17,"NW/WPNE   ",2026,January,77,68,77,68
18,"NW/WPS    ",2026,January,72,86,72,86
19,"NW/WPSE   ",2026,January,50,0,50,0
20,"NW/WPSW   ",2026,January,63,59,63,59
21,"NW/CPN    ",2026,February,98,99,196,197
22,"NW/CPS    ",2026,February,57,10,114,19
23,"NW/EP     ",2026,February,46,46,92,92
24,"NW/NCP    ",2026,February,40,40,80,81
25,"NW/NP-1   ",2026,February,36,35,72,71
26,"NW/NP-2   ",2026,February,44,25,88,54
27,"NW/NWPE   ",2026,February,45,47,90,100
28,"NW/NWPW   ",2026,February,30,30,60,61
29,"NW/SAB    ",2026,February,66,48,132,90
30,"NW/SPE    ",2026,February,56,56,112,134
31,"NW/SPW    ",2026,February,31,26,61,56
32,"NW/UVA    ",2026,February,38,49,75,66
33,"NW/WPC-1  ",2026,February,24,30,48,63
34,"NW/WPC-2  ",2026,February,37,0,74,0
35,"NW/WPE    ",2026,February,71,24,142,40
36,"NW/WPN    ",2026,February,73,23,146,49
37,"NW/WPNE   ",2026,February,78,104,155,172
38,"NW/WPS    ",2026,February,74,84,146,170
39,"NW/WPSE   ",2026,February,51,15,101,15
40,"NW/WPSW   ",2026,February,64,83,127,142
41,"NW/CPN    ",2026,March,99,98,295,295
42,"NW/CPS    ",2026,March,58,5,172,24
43,"NW/EP     ",2026,March,46,46,138,138
44,"NW/NCP    ",2026,March,40,40,120,121
45,"NW/NP-1   ",2026,March,36,37,108,108
46,"NW/NP-2   ",2026,March,44,49,132,103
47,"NW/NWPE   ",2026,March,45,46,135,146
48,"NW/NWPW   ",2026,March,30,32,90,93
49,"NW/SAB    ",2026,March,66,41,198,131
50,"NW/SPE    ",2026,March,56,65,168,199
51,"NW/SPW    ",2026,March,31,27,92,83
52,"NW/UVA    ",2026,March,37,5,112,71
53,"NW/WPC-1  ",2026,March,24,39,72,102
54,"NW/WPC-2  ",2026,March,37,0,111,0
55,"NW/WPE    ",2026,March,71,14,213,54
56,"NW/WPN    ",2026,March,73,38,219,87
57,"NW/WPNE   ",2026,March,78,73,233,245
58,"NW/WPS    ",2026,March,74,45,220,215
59,"NW/WPSE   ",2026,March,51,9,152,24
60,"NW/WPSW   ",2026,March,64,71,191,213
61,"NW/CPN    ",2026,April,99,98,394,393
62,"NW/CPS    ",2026,April,58,9,230,33
63,"NW/EP     ",2026,April,47,47,185,185
64,"NW/NCP    ",2026,April,40,40,160,161
65,"NW/NP-1   ",2026,April,36,36,144,144
66,"NW/NP-2   ",2026,April,44,54,176,157
67,"NW/NWPE   ",2026,April,45,46,180,192
68,"NW/NWPW   ",2026,April,30,31,120,124
69,"NW/SAB    ",2026,April,66,55,264,186
70,"NW/SPE    ",2026,April,56,56,224,255
71,"NW/SPW    ",2026,April,31,27,123,110
72,"NW/UVA    ",2026,April,38,66,150,137
73,"NW/WPC-1  ",2026,April,24,31,96,133
74,"NW/WPC-2  ",2026,April,37,0,148,0
75,"NW/WPE    ",2026,April,71,39,284,93
76,"NW/WPN    ",2026,April,73,62,292,149
77,"NW/WPNE   ",2026,April,78,42,311,287
78,"NW/WPS    ",2026,April,74,49,294,264
79,"NW/WPSE   ",2026,April,51,14,203,38
80,"NW/WPSW   ",2026,April,64,66,255,279
81,"NW/CPN    ",2026,May,99,1,493,394
82,"NW/CPS    ",2026,May,58,0,288,33
83,"NW/EP     ",2026,May,47,0,232,185
84,"NW/NCP    ",2026,May,40,0,200,161
85,"NW/NP-1   ",2026,May,36,0,180,144
86,"NW/NP-2   ",2026,May,44,0,220,157
87,"NW/NWPE   ",2026,May,45,0,225,192
88,"NW/NWPW   ",2026,May,30,0,150,124
89,"NW/SAB    ",2026,May,66,0,330,186
90,"NW/SPE    ",2026,May,56,0,280,255
91,"NW/SPW    ",2026,May,31,0,154,110
92,"NW/UVA    ",2026,May,37,9,187,146
93,"NW/WPC-1  ",2026,May,23,7,119,140
94,"NW/WPC-2  ",2026,May,36,0,184,0
95,"NW/WPE    ",2026,May,71,12,355,105
96,"NW/WPN    ",2026,May,73,5,365,154
97,"NW/WPNE   ",2026,May,78,16,389,303
98,"NW/WPS    ",2026,May,74,3,368,267
99,"NW/WPSE   ",2026,May,51,4,254,42
100,"NW/WPSW   ",2026,May,64,28,319,307
101,"NW/CPN    ",2026,June,99,0,592,394
102,"NW/CPS    ",2026,June,58,0,346,33
103,"NW/EP     ",2026,June,47,0,279,185
104,"NW/NCP    ",2026,June,40,0,240,161
105,"NW/NP-1   ",2026,June,36,0,216,144
106,"NW/NP-2   ",2026,June,44,0,264,157
107,"NW/NWPE   ",2026,June,47,0,272,192
108,"NW/NWPW   ",2026,June,31,0,181,124
109,"NW/SAB    ",2026,June,68,0,398,186
110,"NW/SPE    ",2026,June,56,0,336,255
111,"NW/SPW    ",2026,June,31,0,185,110
112,"NW/UVA    ",2026,June,38,0,225,146
113,"NW/WPC-1  ",2026,June,23,0,142,140
114,"NW/WPC-2  ",2026,June,36,0,220,0
115,"NW/WPE    ",2026,June,71,0,426,105
116,"NW/WPN    ",2026,June,74,0,439,154
117,"NW/WPNE   ",2026,June,78,0,467,303
118,"NW/WPS    ",2026,June,74,0,442,267
119,"NW/WPSE   ",2026,June,51,0,305,42
120,"NW/WPSW   ",2026,June,64,0,383,307
121,"NW/CPN    ",2026,July,98,0,98,0
122,"NW/CPS    ",2026,July,57,0,57,0
123,"NW/EP     ",2026,July,46,0,46,0
124,"NW/NCP    ",2026,July,40,0,40,0
125,"NW/NP-1   ",2026,July,36,0,36,0
126,"NW/NP-2   ",2026,July,44,0,44,0
127,"NW/NWPE   ",2026,July,45,0,45,0
128,"NW/NWPW   ",2026,July,30,0,30,0
129,"NW/SAB    ",2026,July,66,0,66,0
130,"NW/SPE    ",2026,July,56,0,56,0
131,"NW/SPW    ",2026,July,30,0,30,0
132,"NW/UVA    ",2026,July,37,0,37,0
133,"NW/WPC-1  ",2026,July,24,0,24,0
134,"NW/WPC-2  ",2026,July,37,0,37,0
135,"NW/WPE    ",2026,July,71,0,71,0
136,"NW/WPN    ",2026,July,73,0,73,0
137,"NW/WPNE   ",2026,July,77,0,77,0
138,"NW/WPS    ",2026,July,72,0,72,0
139,"NW/WPSE   ",2026,July,50,0,50,0
140,"NW/WPSW   ",2026,July,63,0,63,0
141,"NW/CPN    ",2026,August,98,0,196,0
142,"NW/CPS    ",2026,August,57,0,114,0
143,"NW/EP     ",2026,August,46,0,92,0
144,"NW/NCP    ",2026,August,40,0,80,0
145,"NW/NP-1   ",2026,August,36,0,72,0
146,"NW/NP-2   ",2026,August,44,0,88,0
147,"NW/NWPE   ",2026,August,45,0,90,0
148,"NW/NWPW   ",2026,August,30,0,60,0
149,"NW/SAB    ",2026,August,66,0,132,0
150,"NW/SPE    ",2026,August,56,0,112,0
151,"NW/SPW    ",2026,August,31,0,61,0
