1,"NW/CPN    ",2026,January,2,3,2,3
2,"NW/CPS    ",2026,January,1,4,1,4
3,"NW/EP     ",2026,January,2,4,2,4
4,"NW/NCP    ",2026,January,4,6,4,6
5,"NW/NP-1   ",2026,January,0,1,0,1
6,"NW/NP-2   ",2026,January,4,9,4,9
7,"NW/NWPE   ",2026,January,1,0,1,0
8,"NW/NWPW   ",2026,January,1,1,1,1
9,"NW/SAB    ",2026,January,3,3,3,3
10,"NW/SPE    ",2026,January,3,5,3,5
11,"NW/SPW    ",2026,January,1,2,1,2
12,"NW/UVA    ",2026,January,2,3,2,3
13,"NW/WPC-1  ",2026,January,1,2,1,2
14,"NW/WPC-2  ",2026,January,2,0,2,0
15,"NW/WPE    ",2026,January,2,2,2,2
16,"NW/WPN    ",2026,January,3,7,3,7
17,"NW/WPNE   ",2026,January,2,4,2,4
18,"NW/WPS    ",2026,January,2,3,2,3
19,"NW/WPSE   ",2026,January,1,1,1,1
20,"NW/WPSW   ",2026,January,2,8,2,8
21,"NW/CPN    ",2026,February,2,3,4,6
22,"NW/CPS    ",2026,February,2,2,3,6
23,"NW/EP     ",2026,February,2,4,4,8
24,"NW/NCP    ",2026,February,3,6,7,12
25,"NW/NP-1   ",2026,February,1,1,1,2
26,"NW/NP-2   ",2026,February,4,7,8,16
27,"NW/NWPE   ",2026,February,2,2,3,2
28,"NW/NWPW   ",2026,February,0,1,1,2
29,"NW/SAB    ",2026,February,3,4,6,7
30,"NW/SPE    ",2026,February,2,5,5,10
31,"NW/SPW    ",2026,February,1,2,2,4
32,"NW/UVA    ",2026,February,1,3,3,6
33,"NW/WPC-1  ",2026,February,1,4,2,6
34,"NW/WPC-2  ",2026,February,2,0,4,0
35,"NW/WPE    ",2026,February,2,6,4,8
36,"NW/WPN    ",2026,February,4,5,7,12
37,"NW/WPNE   ",2026,February,3,6,5,10
38,"NW/WPS    ",2026,February,1,3,3,6
39,"NW/WPSE   ",2026,February,2,1,3,2
40,"NW/WPSW   ",2026,February,3,2,5,10
41,"NW/CPN    ",2026,March,2,3,2,3
42,"NW/CPS    ",2026,March,1,3,1,3
43,"NW/EP     ",2026,March,2,4,2,4
44,"NW/NCP    ",2026,March,4,6,4,6
45,"NW/NP-1   ",2026,March,0,1,0,1
46,"NW/NP-2   ",2026,March,4,8,4,8
47,"NW/NWPE   ",2026,March,1,5,1,5
48,"NW/NWPW   ",2026,March,1,1,1,1
49,"NW/SAB    ",2026,March,3,3,3,3
50,"NW/SPE    ",2026,March,3,5,3,5
51,"NW/SPW    ",2026,March,1,2,1,2
52,"NW/UVA    ",2026,March,2,3,2,3
53,"NW/WPC-1  ",2026,March,1,1,1,1
54,"NW/WPC-2  ",2026,March,2,0,2,0
55,"NW/WPE    ",2026,March,2,1,2,1
56,"NW/WPN    ",2026,March,3,6,3,6
57,"NW/WPNE   ",2026,March,2,3,2,3
58,"NW/WPS    ",2026,March,2,3,2,3
59,"NW/WPSE   ",2026,March,1,1,1,1
60,"NW/WPSW   ",2026,March,2,5,2,5
61,"NW/CPN    ",2026,April,2,3,4,6
62,"NW/CPS    ",2026,April,2,3,3,6
63,"NW/EP     ",2026,April,2,4,4,8
64,"NW/NCP    ",2026,April,3,6,7,12
65,"NW/NP-1   ",2026,April,1,1,1,2
66,"NW/NP-2   ",2026,April,4,6,8,14
67,"NW/NWPE   ",2026,April,2,0,3,5
68,"NW/NWPW   ",2026,April,0,1,1,2
69,"NW/SAB    ",2026,April,3,4,6,7
70,"NW/SPE    ",2026,April,2,5,5,10
71,"NW/SPW    ",2026,April,1,2,2,4
72,"NW/UVA    ",2026,April,1,3,3,6
73,"NW/WPC-1  ",2026,April,1,2,2,3
74,"NW/WPC-2  ",2026,April,2,0,4,0
75,"NW/WPE    ",2026,April,2,7,4,8
76,"NW/WPN    ",2026,April,4,6,7,12
77,"NW/WPNE   ",2026,April,3,4,5,7
78,"NW/WPS    ",2026,April,1,3,3,6
79,"NW/WPSE   ",2026,April,2,1,3,2
80,"NW/WPSW   ",2026,April,3,5,5,10
81,"NW/CPN    ",2026,May,2,0,2,0
82,"NW/CPS    ",2026,May,1,0,1,0
83,"NW/EP     ",2026,May,2,0,2,0
84,"NW/NCP    ",2026,May,4,2,4,2
85,"NW/NP-1   ",2026,May,0,0,0,0
86,"NW/NP-2   ",2026,May,4,2,4,2
87,"NW/NWPE   ",2026,May,1,0,1,0
88,"NW/NWPW   ",2026,May,1,0,1,0
89,"NW/SAB    ",2026,May,3,0,3,0
90,"NW/SPE    ",2026,May,3,0,3,0
91,"NW/SPW    ",2026,May,1,0,1,0
92,"NW/UVA    ",2026,May,2,0,2,0
93,"NW/WPC-1  ",2026,May,1,0,1,0
94,"NW/WPC-2  ",2026,May,2,0,2,0
95,"NW/WPE    ",2026,May,2,2,2,2
96,"NW/WPN    ",2026,May,3,2,3,2
97,"NW/WPNE   ",2026,May,2,6,2,6
98,"NW/WPS    ",2026,May,2,1,2,1
99,"NW/WPSE   ",2026,May,1,0,1,0
100,"NW/WPSW   ",2026,May,2,2,2,2
101,"NW/CPN    ",2026,June,2,0,4,0
102,"NW/CPS    ",2026,June,2,0,3,0
103,"NW/EP     ",2026,June,2,0,4,0
104,"NW/NCP    ",2026,June,3,0,7,2
105,"NW/NP-1   ",2026,June,1,0,1,0
106,"NW/NP-2   ",2026,June,4,0,8,2
107,"NW/NWPE   ",2026,June,2,0,3,0
108,"NW/NWPW   ",2026,June,0,0,1,0
109,"NW/SAB    ",2026,June,3,0,6,0
110,"NW/SPE    ",2026,June,2,0,5,0
111,"NW/SPW    ",2026,June,1,0,2,0
112,"NW/UVA    ",2026,June,1,0,3,0
113,"NW/WPC-1  ",2026,June,1,0,2,0
114,"NW/WPC-2  ",2026,June,2,0,4,0
115,"NW/WPE    ",2026,June,2,0,4,2
116,"NW/WPN    ",2026,June,4,0,7,2
117,"NW/WPNE   ",2026,June,3,0,5,6
118,"NW/WPS    ",2026,June,1,0,3,1
119,"NW/WPSE   ",2026,June,2,0,3,0
120,"NW/WPSW   ",2026,June,3,0,5,2
121,"NW/CPN    ",2026,July,2,0,2,0
122,"NW/CPS    ",2026,July,1,0,1,0
123,"NW/EP     ",2026,July,2,0,2,0
124,"NW/NCP    ",2026,July,4,0,4,0
125,"NW/NP-1   ",2026,July,0,0,0,0
126,"NW/NP-2   ",2026,July,4,0,4,0
127,"NW/NWPE   ",2026,July,1,0,1,0
128,"NW/NWPW   ",2026,July,1,0,1,0
129,"NW/SAB    ",2026,July,3,0,3,0
130,"NW/SPE    ",2026,July,3,0,3,0
131,"NW/SPW    ",2026,July,1,0,1,0
132,"NW/UVA    ",2026,July,2,0,2,0
133,"NW/WPC-1  ",2026,July,1,0,1,0
134,"NW/WPC-2  ",2026,July,2,0,2,0
135,"NW/WPE    ",2026,July,2,0,2,0
136,"NW/WPN    ",2026,July,3,0,3,0
137,"NW/WPNE   ",2026,July,2,0,2,0
138,"NW/WPS    ",2026,July,2,0,2,0
139,"NW/WPSE   ",2026,July,1,0,1,0
140,"NW/WPSW   ",2026,July,2,0,2,0
141,"NW/CPN    ",2026,August,2,0,4,0
142,"NW/CPS    ",2026,August,2,0,3,0
143,"NW/EP     ",2026,August,2,0,4,0
144,"NW/NCP    ",2026,August,3,0,7,0
145,"NW/NP-1   ",2026,August,1,0,1,0
146,"NW/NP-2   ",2026,August,4,0,8,0
147,"NW/NWPE   ",2026,August,2,0,3,0
148,"NW/NWPW   ",2026,August,0,0,1,0
149,"NW/SAB    ",2026,August,3,0,6,0
150,"NW/SPE    ",2026,August,2,0,5,0
151,"NW/SPW    ",2026,August,1,0,2,0
152,"NW/UVA    ",2026,August,1,0,3,0
153,"NW/WPC-1  ",2026,August,1,0,2,0
154,"NW/WPC-2  ",2026,August,2,0,4,0
155,"NW/WPE    ",2026,August,2,0,4,0
156,"NW/WPN    ",2026,August,4,0,7,0
157,"NW/WPNE   ",2026,August,3,0,5,0
158,"NW/WPS    ",2026,August,1,0,3,0
159,"NW/WPSE   ",2026,August,2,0,3,0
